dz_label,int_geog,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,income_deprivation_rank_2004,income_deprivation_rank_2006,income_deprivation_rank_2009,income_deprivation_rank_2012,employment_deprivation_rank_2004,employment_deprivation_rank_2006,employment_deprivation_rank_2009,employment_deprivation_rank_2012,health_deprivation_rank_2004,health_deprivation_rank_2006,health_deprivation_rank_2009,health_deprivation_rank_2012,education_deprivation_rank_2004,education_deprivation_rank_2006,education_deprivation_rank_2009,education_deprivation_rank_2012,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012
S01003664,Maryhill East,439,615,546,628,594,697,559,687,630,331,558,481,287,1044,1034,1435,323,1094,420,436,409,409,409,409,2817,1951,2460
S01003665,Maryhill East,81,58,37,19,134,32,28,16,64,36,37,37,80,80,90,134,129,324,260,51,456,456,456,456,1007,404,120
S01003666,Milton West,121,56,40,16,140,36,47,19,207,64,67,20,136,33,17,16,225,304,192,229,20,20,20,20,1778,1662,905
S01003667,Yoker North,2210,2787,3097,3389,2994,3020,2983,3270,1953,2416,2809,2938,1782,2357,2481,2765,2310,3096,3536,3536,620,620,620,620,3647,4472,5688
S01003668,Anniesland West,960,1119,1474,1967,943,1157,1533,1653,1048,658,1214,1936,906,1448,1267,1097,809,1337,1375,2871,998,998,998,998,3022,3000,3544
S01003669,Milton West,341,865,735,911,692,885,822,1190,301,790,879,1486,169,691,693,846,642,2197,970,616,316,316,316,316,1296,859,594
S01003670,Maryhill East,179,198,268,262,212,213,167,233,216,244,428,329,290,320,237,431,87,302,430,484,713,713,713,713,768,1989,1100
S01003671,Anniesland West,589,1105,1601,1438,469,699,1055,1086,883,1309,1868,1739,840,1325,1690,1753,368,1110,1822,1691,548,548,548,548,2791,2761,623
S01003672,Milton East,78,81,47,48,55,62,32,49,186,176,51,61,137,163,273,436,110,93,64,60,137,137,137,137,409,503,631
S01003673,Maryhill West,34,25,32,51,46,34,106,132,68,18,25,31,75,104,24,57,22,96,142,189,363,363,363,363,341,115,320
S01003674,Knightswood East,1008,1254,1480,1279,1277,1482,1303,1284,887,1100,1471,1289,1321,1530,1498,1277,771,1314,1916,1361,433,433,433,433,2776,3252,2943
S01003675,Anniesland East,5016,5168,4643,4984,5059,4898,4445,5284,4569,4684,3662,4075,3307,4399,4523,3954,5137,4968,5209,4802,1784,1784,1784,1784,2983,2125,3847
S01003676,Anniesland West,536,1792,2592,3431,549,1900,2657,3491,844,2327,2600,3332,262,2194,3801,3515,465,466,977,1850,530,530,530,530,4172,3731,5296
S01003677,Milton East,651,926,940,811,942,892,606,996,956,1242,1448,856,415,613,821,670,357,629,698,739,608,608,608,608,1781,2795,2307
S01003678,Yoker North,952,1130,1247,1071,1180,1038,1135,1029,1044,1513,1161,1209,672,802,949,851,1133,1171,1319,742,524,524,524,524,2063,4013,2588
S01003679,Knightswood West,471,509,528,552,490,579,530,585,400,452,366,391,501,730,535,506,1099,627,983,964,223,223,223,223,2192,2690,2487
S01003680,Milton East,119,152,188,189,196,165,234,329,255,399,211,210,82,154,140,194,107,58,398,349,7,7,7,7,627,1447,1081
S01003681,Knightswood Park West,1415,1761,1858,1722,1772,1575,1558,1663,765,1393,2234,2580,1234,2224,1428,1123,2968,3280,2325,1537,933,933,933,933,4749,5030,2521
S01003682,Summerston North,3214,3476,3636,3804,4326,3838,3383,3596,3276,3515,3578,3910,1319,2319,2399,2070,3341,3792,4321,3472,2097,2097,2097,2097,2281,2740,3766
S01003683,Blairdardie East,1674,1952,2014,2288,1560,1799,2340,2278,1680,2175,1963,2672,1518,2282,1894,1837,1639,1685,1587,2328,1985,1985,1985,1985,1491,1217,763
S01003684,Blairdardie East,670,1093,1353,1367,778,822,955,1188,458,901,1106,1204,913,1440,1517,1071,998,2061,2488,2274,1144,1144,1144,1144,1277,2719,2030
S01003685,Yoker North,1185,1790,1792,1682,1613,1971,1262,1737,1582,2134,2105,1295,946,1302,1511,2006,1034,1903,2481,1747,203,203,203,203,3361,4789,3062
S01003686,Summerston Central and West,490,695,952,1129,584,666,1003,1040,750,923,1243,1504,384,501,783,857,309,1151,1045,1477,803,803,803,803,2021,1426,1716
S01003687,Milton East,62,96,53,18,155,66,49,17,114,156,39,13,67,92,87,198,45,373,180,24,213,213,213,213,261,1213,346
S01003688,Summerston North,646,771,1110,1136,1003,1069,1226,1066,707,679,1453,1353,855,829,722,491,332,915,1069,1451,622,622,622,622,928,692,1775
S01003689,Blairdardie East,153,112,233,168,190,80,137,42,217,309,447,555,160,133,250,649,340,235,402,90,45,45,45,45,629,1395,1673
S01003690,Knightswood Park West,483,481,428,173,660,388,299,126,309,249,208,138,475,990,717,319,1055,1438,1656,775,679,679,679,679,2225,3528,1653
S01003691,Summerston Central and West,1868,2084,2639,2549,2343,2431,3144,2315,1857,2155,2465,2322,2529,1943,2138,2487,2104,2386,2751,2883,615,615,615,615,4514,4794,3828
S01003692,Blairdardie East,1069,1382,1335,1328,1367,1317,1257,1293,926,1250,1524,1509,1489,1626,1221,911,929,1462,1181,1772,737,737,737,737,2931,2650,1806
S01003693,Blairdardie East,746,626,706,968,1001,771,949,1074,654,934,650,1264,682,664,431,989,1306,287,913,727,939,939,939,939,2246,3520,1228
S01003694,Blairdardie West,2786,3133,3425,2933,2874,2939,2931,2861,2734,3230,3175,2966,2808,2572,3223,2770,3143,3470,3761,2966,1116,1116,1116,1116,2038,4380,3068
S01003695,Summerston North,883,989,1187,1246,929,875,892,1093,1414,1759,1606,1678,971,1323,1259,1478,447,508,1385,916,1276,1276,1276,1276,2160,1208,1682
S01003696,Blairdardie East,736,913,1094,1132,1135,1020,1225,975,595,807,942,1160,723,876,940,1210,1184,1345,1372,1912,666,666,666,666,2893,4611,1838
S01003697,Blairdardie West,4856,5244,5624,5392,5621,5593,5773,5703,3814,4837,4836,5273,4710,4978,5282,4013,4240,4270,4564,4833,4578,4578,4578,4578,2416,3733,2949
S01003698,Blairdardie West,1903,2180,2798,2145,2042,1955,2576,1856,2201,2438,2935,2533,1511,2118,2106,2414,2237,2159,2671,1963,360,360,360,360,2144,4398,2198
S01003699,Summerston Central and West,3794,4011,4255,4607,5397,4863,4866,4895,4663,4490,4428,4116,4439,3814,4209,5404,2417,3579,3671,3625,846,846,846,846,5387,5726,5931
S01003700,Summerston North,1303,1628,1655,1600,1807,1869,1967,1651,1207,1362,1717,1689,989,1691,1106,952,1678,2046,1638,1286,1657,1657,1657,1657,3546,3258,5765
S01003701,Blairdardie East,333,375,422,317,919,486,518,510,152,136,123,144,228,390,793,413,1084,1984,1597,1124,328,328,328,328,2497,2528,1778
S01003702,Drumchapel South,244,364,247,156,275,238,80,51,581,564,528,412,375,773,500,382,67,175,162,195,9,9,9,9,1642,3779,857
S01003703,Drumchapel South,693,822,997,654,714,640,807,790,816,829,1305,536,1227,1538,1187,703,883,945,885,834,106,106,106,106,1016,1442,1109
S01003704,Drumry West,207,323,412,272,298,278,395,245,232,365,583,340,617,564,570,414,81,288,191,412,109,109,109,109,1232,1146,1578
S01003705,Drumchapel South,159,230,153,182,154,144,87,50,204,313,410,426,727,305,241,923,127,417,154,254,135,135,135,135,1721,714,714
S01003706,Drumchapel South,127,118,90,68,62,65,55,22,308,382,509,257,922,219,77,155,14,51,22,108,31,31,31,31,1639,581,663
